Geneid	Fx593-CIM0DP-RNA-R1	Fx593-CIM0DP-RNA-R2	Fx600-CIM0DP-RNA-R1	Fx600-CIM0DP-RNA-R2
XXX1X01010	333	1227	1071	718
XXX1X01020	378	970	999	361
XXX1X03987	0	0	3	2
XXX1X01030	1	0	1	19
XXX1X01040	26	260	9	530
XXX1X03993	0	0	0	0
XXX1X01050	859	1251	276	168
XXX1X03997	0	0	1	0
XXX1X01060	1	1	5	2
XXX1X01070	480	207	4	0
XXX1X04003	0	0	0	1
XXX1X01080	0	1	2	4
XXX1X01090	200	374	217	121
XXX1X01100	999	3267	1	86
XXX1X01110	1	426	5	4
XXX1X01120	248	0	0	54
XXX1X01130	0	0	0	0
XXX1X01140	1713	1633	3439	1422
XXX1X01150	0	1	0	0
XXX1X01160	180	220	0	228
XXX1X04007	1	27	0	19
XXX1X01170	8	34	1	25
XXX1X04013	0	1	0	0
XXX1X01180	0	0	684	131
XXX1X01190	1	0	0	2
XXX1X01200	0	1	2	3
XXX1X01210	0	293	2	326
XXX1X04017	0	0	0	0
XXX1X01220	4	361	8	3
XXX1X04023	0	0	0	0
XXX1X01225	224	132	2	0
XXX1X01230	863	432	317	321
XXX1X01240	868	822	1010	818
XXX1X01250	0	0	0	0
XXX1X01260	0	562	1787	75
XXX1X01270	0	0	0	0
XXX1X01280	0	2	1	0
XXX1X01290	507	211	306	300
XXX1X01300	152	307	125	226
XXX1X01305	0	0	250	0
XXX1X01310	0	0	0	0
XXX1X01320	874	622	707	1708
XXX1X01335	0	0	0	0
XXX1X01340	928	1994	1654	373
XXX1X01350	859	668	396	420
XXX1X01355	0	2	2	2
XXX1X01360	628	813	963	1018
XXX1X01370	0	0	5	3
XXX1X01380	0	0	0	0
XXX1X01390	3	0	4	3
XXX1X01400	0	0	2	1
XXX1X01410	0	0	0	0
XXX1X01420	2	1	2	0
XXX1X01430	343	0	13	1
XXX1X01440	247	1382	35	182
XXX1X01448	99	0	0	501
XXX1X01450	0	0	0	0
XXX1X01453	0	0	0	3
XXX1X01460	1	0	0	5
XXX1X01470	50566	62242	87470	68255
XXX1X01480	2474	2191	8064	7702
XXX1X01490	730	392	58	507
XXX1X01500	637	645	458	290
XXX1X01510	169	1608	3	9
XXX1X01520	0	420	3	9
XXX1X01530	0	0	1	1
XXX1X01540	3	479	474	2
XXX1X01550	4701	5696	7157	5791
XXX1X01560	3	0	2048	1384
XXX1X01570	0	2	1	0
XXX1X01580	3	1	3	10
XXX1X01590	0	0	3	1
XXX1X01600	1	0	1	1
XXX1X01610	0	0	4	2
XXX1X01620	5754	8847	6650	2880
XXX1X01630	122	0	0	59
XXX1X01640	148	376	508	128
XXX1X01650	698	603	1048	281
XXX1X01660	2	1	2	0
XXX1X01670	4	6	22	16
XXX1X01680	1	1	11	11
XXX1X01690	3	0	2	5
XXX1X01695	2	0	0	0
XXX1X04033	0	0	0	0
XXX1X04037	0	11	0	25
XXX1X01700	0	1	6	1
XXX1X01710	189	1	377	435
XXX1X01715	1	26	15	0
XXX1X04043	0	0	0	0
XXX1X01720	14917	23321	24802	23878
XXX1X01725	119	329	326	28
XXX1X04047	322	319	679	31
XXX1X01730	580	1033	1621	195
XXX1X01740	0	0	186	0
